title,task,cost,date,views,answers,status
Требуются авторы текстов,"Для постоянного сотрудничества требуются авторы текстов. Тексты разные: информационные, о товарах, услугах с ключевыми словами, рерайт.

Работа удаленная ПН-ПТ (5…",Договорная,2020-02-17,284,14,
Срочно! Создание сайта по предоставлению услуг!,"Хотелось бы узнать примерное время для создания и примерную стоимость. Я попробую вкратце изложить свою идею.

По структуре сайт будет чем-то напоминать сайт prof…",Договорная,2020-02-17,57,30,Безопасная Сделка
Пиццерия,Существующее помещение ресторана (230 м2) требует изменение концепции и создания новой пиццерии в центре города Екатеринбурга. На сегодняшний день не требуется изме…,Договорная,2020-02-17,19,10,Безопасная Сделка
3д модель оснастки для литья в хтс,Компания занимается литьём алюминия в землю (хтс). Интересует разработка документации для изготовления оснастки для литья в хтс. Документация может включать в себя …,Договорная,2020-02-17,13,6,Для Бизнес-аккаунтов
Google SEO optimization,"Привет,

У нас есть cайт digitalaquila.com - мы специализируемся на Salesforce Marketing Cloud consulting service. Наш трафик который идет через Google очень мале…",Договорная,2020-02-17,18,8,
Instagram - Создание личного бренда. Долгосрочное сотрудничество.,"Добрый день.
Ищу SMM исполнителя на долгосрочное сотрудничество.
Интересует ведения и раскрутке instagram аккаунта. Личный бренд- пластический хирург.
Данный мом…",Договорная,2020-02-16,41,27,Для Бизнес-аккаунтов
Прорисовка,"На короткометражный анимационный фильм по мотивам рассказа ""Тёма и Жучка"" Н. Гарина-Михайловскго
срочно требуются ПРОРИСОВЩИКИ (по удалёнке).

Работаем…",Договорная,1970-01-01,4,0,Для Бизнес-аккаунтов
Разработать дизайн лендинга для производственной студии с применением графики,"Техническое задание
на разработку дизайна лендинга производственной студии 

Требуется разработать дизайн лендинга производственной студии занимающейся разработк…",15 000 р.,1970-01-01,37,25,Безопасная Сделка
Сделать шапку и логотипы телеграмм канала,"Логотип нужен, картинки под посты, оформление канала. Тематика ""Халява, Купоны""",1 000 р.,1970-01-01,20,21,Для Бизнес-аккаунтов
Нужен сайт под ключ,"Ищу специалиста по созданию сайта под ключ. Легкая графика, адаптивность под мобильные устройства, нестандартность графических решений. ТЗ нет но готов всё обяснить…",20 000 р.,1970-01-01,48,35,Для Бизнес-аккаунтов
Настройка рекламы в фейсбуке,Настроить таргетинговую рекламу в инстаграме через Фейсбук для свадебного салона.,Договорная,1970-01-01,3,5,Для Бизнес-аккаунтов
Нужно придумать логотип(строительная компания),"Нужен логотип для строительной компании(каркасное строительство).для размещения его на рекламе,аватарке,почте.",Договорная,1970-01-01,37,43,Для Бизнес-аккаунтов
"Ищем дизайнера логотипа,превью для роликов,шапки канала.","Здравствуйте, ищем дизайнера логотипа на Ютуб канал. 
В дальнейшем планируем найти человека, который будет делать : 
1) Превью для видеороликов 
2) Шапку для кан…",5 000 р.,1970-01-01,22,19,Для Бизнес-аккаунтов
Контент менеджер – ВК FB INSTA,"Есть сообщество в cоц.сетях

Тематика: музыкальная группа – если Вы разбираетесь в музыке это будет плюсом (жанр – русский рэп)
Необходимо подготавливать посты ,…",7 000 р.,1970-01-01,13,4,
сверстать 2сторонюю листовку а5 для пиццерии,сверстать 2-сторонюю листовку а5 для пиццерии и подготовить для печати. листовка в виде меню с фотографиями продукции и всей необходимой информацией,Договорная,1970-01-01,11,9,Для Бизнес-аккаунтов
СЕО продвижение,"Здравствуйте, ищем специалиста с опытом на постоянную работу для внутренней оптимизации сайта storieviews.com  , работы над контентом и закупки ссылок для продвижен…",Договорная,1970-01-01,11,4,Для Бизнес-аккаунтов
Проект внедрения адресного хранения на складе,"Внедрение проекта динамического адресного хранения товаров на складе 1400 кв.м. Высота стеллажей - 8м.
Учетная система - 1С УПП 8.3.
Интенсивность работы склада -…",300 000 р.,1970-01-01,12,2,Заключение договора
Фирменный стиль и логотип,"Дизайн коробки ,средства для волос , плис логотип",3 000 р.,1970-01-01,39,27,Для Бизнес-аккаунтов
Шапка и аватарка группы ВК,Необходимо создать какую-нибудь несложную шапку группы для ВКонтакте и аватарку с использованием абривеатуры EABOX,500 р.,1970-01-01,19,8,Для Бизнес-аккаунтов
на сайте ModX настроить форму обратной связи,Нужно чтоб передавались поля выбор врача и выбор направления в форме обратной связи. Сейчас этого почему-то нет. Раньше форма работала правильно. Сейчас письмо прих…,Договорная,1970-01-01,11,3,Для Бизнес-аккаунтов
Найти номер отслеживания почтового отправления,Необходимо чтобы специалист написал программу/сервис которая сможет методом подбора вычислить и проверить результат. Необходимо найти отслеживание заказного письма …,Договорная,1970-01-01,7,2,Для Бизнес-аккаунтов
Пользовательское соглашение для платного телеграм бота,"Пользовательское соглашение для платного телеграм бота с индивидуальными гороскопами.
 
Типовое соглашение о предоставлении платной информации (по модели подписки…",Договорная,1970-01-01,1,0,Для Бизнес-аккаунтов
Перевести письмо с русского на английский,Перевести письмо. Размер не больше 1 страницы А4.,500 р.,1970-01-01,9,7,Для Бизнес-аккаунтов
Нужен специалист по подбору кадров,Требуется удаленный специалист по подбору кадров в новый кулинарный проект по доставке продуктов. Требуется находить сотрудников на задания и на постоянную работу. …,5 000 р.,1970-01-01,1,0,Для Бизнес-аккаунтов
завтра 18.02 в первой половине дня по мск сделать перевод (прим. а4). Текст будет готов к утру.,"к утру, прим. 11 по мск подготовим текст и нужно будет его оперативно перевести часам к 16-по мск 18.02. объем прим. а4.",Договорная,1970-01-01,5,3,Для Бизнес-аккаунтов
Ищем копирайтера (Крипто-проект),"Ищем на долговременной основе копирайтера для проекта ""Крипто-обменник"". 
Если вам близка крипто-тема и вы понимаете о чем речь, то будем рады  рассмотре…",Договорная,1970-01-01,6,2,Для Бизнес-аккаунтов
Категорийный менеджер,"Ищем менеджера категорий (у нас много направлений, поэтому пишите в какой категории товаров у Вас есть опыт.
Обязанности:
искать поставщиков с наиболее выгодными …",30 000 р.,1970-01-01,2,0,Для Бизнес-аккаунтов
Монтаж готовых исходников,"Полный монтаж(музыка,переходы,эффекты и все это как у более блогеров под тизерный вариант)
Исходники готовые, общая масса получится примерно на 1-2 минуты полного …",300 р.,1970-01-01,15,10,Для Бизнес-аккаунтов
Обработка фотографий с 3D моделированием объектов и размещении объектов на фото.,"В приложении описание технологии и фото.

Надо смоделировать изделие (заграждения), разместить на фото таким образом, чтобы это показало систему в работе, и убрат…",Договорная,1970-01-01,18,8,Для Бизнес-аккаунтов
Сайт - лендинг под клининг,Нужен полностью готовый сайт к работе.,3 500 р.,1970-01-01,84,43,
Старший менеджер по продажам B2B,"Требуемый опыт работы: 1–3 года

Полная занятость, удаленная работа

Внимательно прочитать до конца и выполнить задания указанные в вакансии.
Ведётся набор мен…",100 000 р.,1970-01-01,3,0,Для Бизнес-аккаунтов
Рассчитать бетонный бассейн для хранения воды,"Здавстуйте!
Необходимо рассчитать бетонный бассейн для хранения воды. 
Размеры бассейна 125000х 145000х 27000 (ДШВ, мм)
Размещение надземное на бетонной плите.
…",Договорная,1970-01-01,7,1,Для Бизнес-аккаунтов
Разработка индивидуального календаря (органайзера) руководителю,В организации используется органайзер (календарь) в целях упорядочивания работы руководителя. Используется как информационная база мероприятий (как прошедших так и …,Договорная,1970-01-01,10,0,Для Бизнес-аккаунтов
Синхронизировать по API ocstore,"Движок сайта на OCSTORE.

Технически API интерфейс реализован как семейство Web методов с обязательной
авторизацией.
Поддерживаются два формата обмена
Формат J…",Договорная,1970-01-01,8,3,Для Бизнес-аккаунтов
Необходимо написать две статьи на тему спорта,"Срочная работа!!! 
Необходимо выполнить работы по теме ""Педагогика и спорт. Прогнозирование и тенденции различных видов спорта"" и ""Теория и практик…",Договорная,1970-01-01,12,4,Для Бизнес-аккаунтов
Наполнить сайт товарами,Необходимо заполнить интернет магазин цветов товарами. Самописный движок. База в csv файле. Возможна оплата за каждые n-позиций. Можно наполнять как руками так и ав…,2 000 р.,1970-01-01,16,1,
Написать честный отзыв на приложение,"Написать честный отзыв на приложение Супермама - supermama.io
Разместить на irecommend, Отзовик",200 р.,1970-01-01,7,1,Для Бизнес-аккаунтов
Продвижение страницы в Инстаграмме,"Не большое продвижение страницы в инстаграмм с товарами ручной работы. Реклама,коменты. Работы не много,пишите за сколько готовы сделать работу на день-два.",Договорная,1970-01-01,18,7,
Лидогенерация в консалтинговую компманию по продажам,"Ищу специалистов с успешным опытом настройки рекламных компании для консалтинговых компаний в нише «Продажи» 
Детали компании тут  -  Kovtunenko.com 
Продукт орие…",Договорная,1970-01-01,9,3,Для Бизнес-аккаунтов
Переделать имеющийся магазин Shopify,"Переделать имеющийся магазин Shopify под другую продукцию (до 10 продуктов, фото и описание есть). Подключить магазин к другому домену.",Договорная,1970-01-01,28,11,Для Бизнес-аккаунтов
Установить шаблон сайта Opencart,"Нужно установить шаблон сайта опенкарт, шаблон https://lightshop2.899themes.ru/ , чтобы было все как в демо.",300 р.,1970-01-01,7,3,Для Бизнес-аккаунтов
Проект апарт-отеля,"нужно сделать план 1-го этажа, типового этажа, генплан и фасады. есть задание, местность, все отправлю.",3 000 р.,1970-01-01,25,7,Для Бизнес-аккаунтов
Разработка backend в крутой команде. Оплата обсуждается предметно и выгодно для обеих сторон,"Нужен грамотный разработчик Back-end с опытом, способный решать трудные задачи эффективно и без потерь. В кратце нужен маркетплейс, но это очень абстрактно. Также н…",Договорная,1970-01-01,9,5,Для Бизнес-аккаунтов
Обработка фото + анимация глаз,"Есть 2 почти идентичные фотографии - портрет девушки, одна с открытыми глазами, другая с закрытыми. Снято на Iphone X

Необходимо стильно художественно обработать…",Договорная,1970-01-01,29,8,
Разработка IOS-приложения в крутой команде. Оплата обсуждается предметно и выгодно для обеих сторон,"Нужен грамотный разработчик IOS-версии приложения с опытом, способный решать трудные задачи эффективно и без потерь. Также нужен кто-то, кто может сделать Android-в…",Договорная,1970-01-01,6,1,Для Бизнес-аккаунтов
Авто логистика,"Требуется перенести код с конструктора, настроить парсер, форму обратной связи.
Быстро и качественно сверстать некоторые задачи для портала.",Договорная,1970-01-01,11,6,Для Бизнес-аккаунтов
Разработка Android-версии в крутой команде. Оплата обсуждается предметно и выгодно для обеих сторон,"Нужен грамотный разработчик Android-версии приложения с опытом, способный решать трудные задачи эффективно и без потерь. Также нужен кто-то, кто может сделать IOS-в…",Договорная,1970-01-01,5,1,Для Бизнес-аккаунтов
Тестовое задание,"Господа исполнители, не заметили ли вы, что последнее время у заказчиков какая то странная болезнь "" тестовое задание""?
Даже на какую то вшивую картинку …",Договорная,1970-01-01,64,20,Для Бизнес-аккаунтов
Подключить и настроить личный кабинет в 1с Битрикс,"Направляем для более эффективной работы наше видение работы создаваемого раздела на сайте ПВО.

Ожидаем следующую механику работы сайта:

Раздел будет содержать…",20 000 р.,1970-01-01,24,10,
Дизайн мобильного приложения по готовому UX,"Приложение для оператора связи, по количеству экранов соответствует количеству экранов в приложении Мой Билайн или Мой МТС. Бюджет обговаривается.",80 000 р.,1970-01-01,34,18,Безопасная Сделка
OCFilter,Необходимо сделать на сайте фильтр OCFilter.,Договорная,1970-01-01,8,5,Для Бизнес-аккаунтов
Контекстная реклама,"Требуется опытный директолог. Необходимо грамотно настроить рекламные компании в Яндекс директе и гугл адвордс. 

Тематика сайта: мебель из массива.
Сайт: vs-plu…",Договорная,1970-01-01,19,14,Для Бизнес-аккаунтов
Сайт,"Здравствуйте. 
Нужен сайт типа, https://ural-toys.ru/ (работаю с ними). 
1. Минимальное ""искажение"" (телефоны, адреса ...)
2. есть API, который они пре…",Договорная,1970-01-01,62,27,Для Бизнес-аккаунтов
"Оператор Контакт Центра, Банковские карты, Прием входящих звонков, Дистанционная работа","Оператор Контакт Центра IP Телефонии,
График работы: Понедельник - Суббота с 8:30 до 17:30 по Москве. Минимум 5 часов в день, график свободный. Прием только входящ…",25 000 р.,1970-01-01,12,0,
Монтаж минутных видео,"Монтаж минутных видео для Инстаграм 

Видео нарощенных волос: до/после

Убрать корявые моменты
Ускорить/замедлить
Наложить музыку
Выбрать из видео лучшие мом…",300 р.,1970-01-01,20,17,Для Бизнес-аккаунтов
Парсинг,"https://widget.profticket.ru/customer/30/shows/ - здравствуйте есть сайт доннор откуда постоянно нужно парсить, билеты, мероприятия цены. и все данные. Предоставлят…",3 000 р.,1970-01-01,13,1,Для Бизнес-аккаунтов
Разработка персонального сайта психолога,"Необходимо создать сайт на Wordpress для психолога, предназначенный в основном для ведения блога. Что-то среднее между блогом и сайтом-визиткой.",15 000 р.,1970-01-01,65,42,Для Бизнес-аккаунтов
Специалист по внедрению Битрикс24,"- опыт работы с Битрикс24 от 6 месяцев.
- необходимо будет выполнять разные задачи по настройке и интеграции crm.
- постоянное сотрудничество
- оплата сдельная з…",Договорная,1970-01-01,9,2,Для Бизнес-аккаунтов
Доработка скрипта с выводом ПВЗ на карту,"Есть готовый скрипт https://home.courierexe.ru/js/measoft_map.js
Необходимо доработать к нему поиск адреса и вывод точки на карте. 

При поиске должна быть автоп…",5 000 р.,1970-01-01,5,4,Для Бизнес-аккаунтов
Подобрать блогеров в в Инстаграм,"Подобрать  20 блогеров с Инстаграм для размещения рекламы

Требования: численность подписчиков от 8 тыс до 200 тыс
Блогер должен быть из Казани 
10 блогеров муж…",Договорная,1970-01-01,8,4,Для Бизнес-аккаунтов
"Нужен рерайт описаний 75 сериалов, можно без опыта, главное – грамотность","Нужен рерайт описаний 75 сериалов по 1000 знаков без пробелов. Исходники есть. 

Оплата: 15-20 руб за 1000 знаков без пробелов в зависимости от уровня Вашей грамо…",1 500 р.,1970-01-01,62,12,
Тестировщик ПО,"Обязанности:

- Разработка скриптов тестирования для типовых задач;

- Обнаружение, описание и отслеживание дефектов в работе сайта;

- Взаимодействие с разра…",Договорная,1970-01-01,10,1,Для Бизнес-аккаунтов
"Внести изменения в текст печатной брошюры (1 стр, 3 языка, в сумме 3 файла в нескольких вариантах). Сегодня. В режиме онлайн.","Надо СЕГОДНЯ, а лучше сейчас.

В имеющийся файл для печати pdf необходимо внести изменения (заменить текст, где-то его увеличить, где-то сдвинуть) в Adobe Illus…",Договорная,1970-01-01,26,17,Для Бизнес-аккаунтов
Внести правки на сайт. На конструкторе битрикс.,"Есть сайт: http://nobielemebel.ru/
Необходимо внести следующие правки:
https://c2n.me/462fbAz -заменить контактные данные
 https://c2n.me/462fgch - убрать эту на…",1 000 р.,1970-01-01,24,5,
"SEO продвижение, авито, копирайтинг сайта по ремонту сотовых телефонов","Есть готовый сайт по ремонту сотовых телефонов и бытовой техники в Волгограде. Нужно настроить яндекс, гугл, 2гис, авито. Цель – привлечь реальных клиентов, научить…",Договорная,1970-01-01,13,10,Для Бизнес-аккаунтов
Требуется удаленный дизайнер на постоянную работу,"Требуется удаленный дизайнер на постоянную работу.

Обязанности:

Разрабатывать дизайн корпоративных сайтов, лэндингов, а так же интернет-магазинов, с адаптивно…",Договорная,1970-01-01,74,29,Для Бизнес-аккаунтов
До настройка РК в гугл,Простая РК около 20 ключей. Нужна консультация и до настройка существующей. Возможно дальнейшее сотрудничество.,300 р.,1970-01-01,11,7,Для Бизнес-аккаунтов
Сбор семантического ядра,"Требуется собрать высокочастотные и среднечастотные запросы левой и правой колонки по тематике пароходов.

Основная идея - организация мероприятий на теплоходах. …",Договорная,1970-01-01,12,6,Для Бизнес-аккаунтов
Внутренняя планировка и внешняя визуализация кофейни,"Необходимо разработать планировку на 50 кв м. 5 на 10, для кофейни, совмещенной с продажей табака. То есть 20 м под магазин с табачными изделиями, вторая часть 30 м…",4 000 р.,1970-01-01,36,19,Для Бизнес-аккаунтов
Уменьшить нагрузку на сайте на Вордпресс,"На новостном сайте на Вордпресс при большой посещаемости повышается нагрузка на сервер до 100 процентов, при этом долго грузится сайт и иногда выдается 504 ошибка, …",3 000 р.,1970-01-01,34,4,
Разработать приложение для 3D,"1 Разработать приложение для Android (Unity, Unreal, ARCore – на выбор исполнителя) с 
элементами AR
2 Предоставить заказчику исходный код + компилированный APK…",Договорная,1970-01-01,11,4,Для Бизнес-аккаунтов
Настроить потоварную рекламную компанию в google adwords с автоматическим обновлением по наличию товаров,Необходимо настроить потоварную рекламную компанию в adwords. Товарные объявления должны автоматически включать и отключаться в зависимости от остатков на сайте. У …,10 000 р.,1970-01-01,14,7,
SEO продвижение сайта,"seo продвижение сайта по ремонту квартир в Яндекс и Гугл, регион Санкт-Петербург. Ищу исполнителя на долгосрочный период. Рассматриваю все варианты, но предпочтител…",Договорная,1970-01-01,27,21,Для Бизнес-аккаунтов
Разработка нового проекта коммерческого предложения,"Есть существующий вариант коммерческого предложения в PDF.
Необходимо разработать вариант создания КП в веб интерфейсе или модернизация существующего.",Договорная,1970-01-01,14,6,Для Бизнес-аккаунтов
Продвижение в Инстаграм,"Необходимо заниматься продвижением медицинских и косметологических услуг в официальном Инстаграме медицинского центра (Москва). Подбирать и размещать контент, довес…",5 000 р.,1970-01-01,16,13,Для Бизнес-аккаунтов
"Устранение ошибок сайта, реализация навигационной цепочки, обновление структуры","Требуется устранить ошибки в работе сайта, сделать его более читабельным и функциональным",7 000 р.,1970-01-01,11,8,Для Бизнес-аккаунтов
Конвертирование файлов 3D,"Перевод файлов формата STL (результат 3d сканирования) в твердотельные модели формата SLDPRT, STEP, IGS.",Договорная,1970-01-01,29,8,Для Бизнес-аккаунтов
1. Opencart 1.5 переход на https 2. Позже - миграция на Opencart 3.0,"1. Магазин на Opencart 1.5 перевод на https, с сохранением всех ссылок http, товаров связей и пр
2. Позже - Миграция с Opencart 1.5 на 3.0. Так же с сохранением вс…",Договорная,1970-01-01,14,7,Для Бизнес-аккаунтов
Брендирование автомобиля (что б бросалось в глаза),"Нужно забронировать автомобиль Mercedes Sprinter 
компания занимается кальянами
круто придумать что-то возможно в коммунистическом стиле
главное что бы люди сраз…",3 000 р.,1970-01-01,39,21,Для Бизнес-аккаунтов
Видеоролик для тв 15 сек - реклама интернет-провайдера,"Рекламный ролик в городах, которых добывают нефть, основная идея - сеть прокачана, качай сколько сможешь (http://www.advertology.ru/article147451.htm - этот ролик п…",Договорная,1970-01-01,23,12,Для Бизнес-аккаунтов
Логотип для маленького начинающего агентства недвижимости,Необходим логотип и подбор шрифтов названия для молодого агентства недвижимости.,Договорная,1970-01-01,78,63,Для Бизнес-аккаунтов
Найти партнеров для установки формы на сайт,"Требуется найти двух партнеров кто разместит у себя на сайте форму заказа билетов.
Сайты должны быть посещаемые (Яндекс ИКС не меньше 300).
Качественно выполнить …",Договорная,1970-01-01,6,3,Для Бизнес-аккаунтов
Фирменный стиль для школы,"Здравствуйте. 

Мы являемся школой для одаренных детей. Необходимо сделать дизайн блокнотов, ручек, толстовок(свитшоты, худи), поло, пакеты, шаблон презентаций.",Договорная,1970-01-01,62,42,Для Бизнес-аккаунтов
Передача данных с датчиков в электронную систему (косультация),Датчики должны передовать информацию о дистанции и скорости. Датчики устанавливаются на игроков команды и вся информвция должна сливаться в информационную систему. …,1 000 р.,1970-01-01,16,2,
написание отзывов,"нужны исполнители, кто напишет отзывы на товар продающийся на вайлдберриз.",Договорная,1970-01-01,7,0,Для Бизнес-аккаунтов
Визуализация микромаркета,"Задание:
Разработать конструктив и 3D визуализацию микромаркета.

Детали:
- 5 форматов:
1) брендированная холодильная витрина;
2) одна витрина (киоск);
3) дв…",10 000 р.,1970-01-01,33,10,Для Бизнес-аккаунтов
Создать и настроить видеонаблюдение в яндекс. директе,"Необходимо создать и настроить видеобъявление для яндекс.директ ""под ключ""",Договорная,1970-01-01,15,15,Для Бизнес-аккаунтов
настройка служебных заголовков в письмах NetCat,"электронные письма, отправляемые системой, группируются почтовыми серверами (gmail, yandex, mail) “криво”, то есть через раз. 
все дело в настройках служебных заго…",3 000 р.,1970-01-01,19,3,
Систематизировать базу контактов,"Есть база контактов, которая велась не системно, например, в поле ""Телефон"" написана Фамилия и т.п. Необходимо эту базу привести к единому виду. База конт…",3 500 р.,1970-01-01,16,12,Для Бизнес-аккаунтов
